,content_id,autor,title,seccion,tag1,fecha,PageViews,Usuarios,Suscriptos,Choques,Altas
0,-25l_FbRj,Eduardo Paladini,"Sorpresas en el ranking de gobernadores con Horacio Rodríguez Larreta, Alicia Kirchner y Axel Kicillof",Política,Horacio Rodríguez Larreta,2020-12-27,69994,15691,8555,6809,11
1,7MYdNvgNr,Eduardo Paladini,Alerta para Alberto Fernández: una encuesta le puso números a los decepcionados con su gobierno,Política,Alberto Fernández,2020-12-13,121044,27687,15741,11204,25
2,05AZjHkMW,Eduardo Paladini,La interna opositora más caliente: nadie quiere ir a perder a Provincia y todos miran a María Eugenia Vidal,Política,María Eugenia Vidal,2020-12-09,25910,6397,4735,1336,1
3,14SyUnV3i,Eduardo Paladini,Sorpresa en una encuesta electoral: cómo está la pelea para el 2021,Política,Elecciones 2021,2020-12-20,69147,18960,11168,7556,14
4,Bel8BHbWh,Eduardo Paladini,Nueva encuesta en Provincia: los duelos de la grieta y datos electorales para el 2021,Política,Alberto Fernández,2020-12-30,12543,3343,1919,1313,5
5,EHwxhRmlc,Eduardo Paladini,"Tres consultoras midieron a Máximo Kirchner: cómo le fue en Nación, Provincia y Ciudad",Política,Máximo Kirchner,2020-12-28,250269,47079,22409,23847,43
6,1Yy-7xzA_,Eduardo Paladini,"Uno por uno, los 15 diputados opositores que ayudaron al Frente de Todos a aprobar el ajuste jubilatorio",Política,Jubilados,2020-12-30,33364,10579,8286,2002,3
7,Q0v6FKPmG,Eduardo Paladini,"Encuesta llamativa: midieron la imagen de Viviana Canosa contra Elisa Carrió, Milagro Sala y Verónica Magario",Política,Viviana Canosa,2020-12-29,38849,8415,5030,3150,4
8,-6vBF-vZB,Eduardo Paladini,"Nueva encuesta: cómo está la pelea Alberto Fernández vs. Horacio Rodríguez Larreta, provincia por provincia",Política,Encuestas,2020-12-22,35353,8729,4792,3725,7
9,QRUUfjfEA,Eduardo Paladini,Nueva encuesta electoral: volvieron a medir cómo les iría a Horacio Rodríguez Larreta y Mauricio Macri por separado,Política,Elecciones 2021,2020-12-11,120706,21016,8421,11913,8
10,gPN6aJsLD,Eduardo Paladini,Incluyeron a Ofelia Fernández en una encuesta con otros 21 dirigentes: sólo le ganó a Hugo Moyano,Política,Ofelia Fernández,2020-12-06,38483,7043,4780,1763,0
11,S6VPHa3_m,Eduardo Paladini,"Como con Mauricio Macri, la inflación vuelve a ser la principal preocupación de los argentinos",Política,Alberto Fernández,2020-12-07,1538,348,258,68,0
12,ddDGmQ-a5,Eduardo Paladini,"Ley de aborto: uno por uno, quiénes son los 22 diputados ""indefinidos"" que pueden torcer la votación",Política,Aborto,2020-12-09,10877,1255,849,293,0
13,fWKyfHafB,Eduardo Paladini,Efecto Maradona: cuánto cayó la imagen de Alberto Fernández en sólo una semana,Política,Encuestas,2020-12-10,30874,9521,6551,2773,5
14,snWwG322i,Eduardo Paladini,"Nueva encuesta electoral: caen oficialismo y oposición y crecen los ""me da lo mismo""",Política,Elecciones 2021,2020-12-08,8643,2942,1929,914,0
15,pz0Gy1K4U,Eduardo Paladini,"Una consultora que trabajó para Mauricio Macri midió a los ""no grieta"": cuántos son, qué piensan, cómo votarían",Política,Encuestas,2020-12-24,38939,8227,4572,3396,3
16,I5kFD25Qo,Eduardo Paladini,"Uno por uno, quiénes fueron los 12 opositores que ayudaron al Frente de Todos para avanzar contra Horacio Rodríguez Larreta",Política,Juan Schiaretti,2020-12-01,50181,11092,7750,2613,0
17,S8oqnzZaE,Eduardo Paladini,Ocho encuestadores califican el año de Alberto Fernández (y Cristina Kirchner),Política,Alberto Fernández,2020-12-10,6322,1418,811,560,0
18,OtI0I7Ulq,Eduardo Paladini,"La peor devaluación para Alberto Fernández: el 49,7% ""no cree nada"" de lo que dice",Política,Alberto Fernández,2020-12-21,9998,2144,1658,416,0
19,xRDXw9icC,Eduardo Paladini,"Nueva encuesta electoral: cómo está el Frente de Todos vs. Juntos por el Cambio en Nación, Provincia y Ciudad",Política,Encuestas,2020-12-31,42024,10309,5383,4669,12
20,yir5KKxmI,Eduardo Paladini,"Quase 50% dos argentinos ""não acreditam em nada"" do que Alberto Fernández diz",Clarín em Portugues,Argentina,2020-12-23,87,6,1,2,0
21,_ndyKkOG7,Eduardo Paladini,"La encuesta más incómoda: cómo está el ranking de los políticos con ""muy mala"" imagen",Política,Encuestas,2020-12-21,49661,15629,10677,4767,17
22,ZTvOazvOB,Eduardo Paladini,"La última encuesta que les llegó a Cristina y Máximo Kirchner, con datos sensibles para Alberto Fernández",Política,Cristina Kirchner,2020-12-23,223087,39615,17791,21014,31
23,axtycdosW,Eduardo Paladini,"Nueva encuesta electoral: cómo está el Frente de Todos vs. Juntos por el Cambio, en Nación, Provincia y Ciudad",Política,Elecciones 2021,2020-12-04,70452,18699,10512,7849,12
24,gkSPBqya0,Eduardo Paladini,Nueva encuesta de una de las consultoras más cercanas a Cristina y Máximo Kirchner,Política,Máximo Kirchner,2020-12-02,151657,27559,12116,14666,8
25,hB6EWfted,Eduardo Paladini,Nueva encuesta de una de las consultoras que trabajó oficialmente para el gobierno de Cambiemos,Política,Encuestas,2020-12-07,105485,18409,7936,10006,9
26,hoItFhMox,Eduardo Paladini,Otra interna oficialista: pelea caliente por el 2021 y una misteriosa lista negra,Política,Frente de Todos,2020-12-01,9900,3674,3109,440,0
